image_description
Generate an ultra 8k photorealistic RAW portrait image for Male Caucasian Fair Short brown hair styled casually Rectangular glasses Warm smile dimples visible. Capture the image with a high-resolution photograph using an 85mm lens for a flattering perspective. fujifilm: 1 | centered: 1. Do not include captions in the generated images.
Generate an ultra 8k photorealistic RAW portrait image for Female African American Dark Curly black hair pulled back into a neat bun Bold round earrings Confident expression with a slight smirk. Capture the image with a high-resolution photograph using an 85mm lens for a flattering perspective. fujifilm: 1 | centered: 1. Do not include captions in the generated images. 
Generate an ultra 8k photorealistic RAW portrait image for Male Hispanic Olive Short dark hair neatly combed to the side Friendly gaze showing a toothy grin Capture the image with a high-resolution photograph using an 85mm lens for a flattering perspective. fujifilm: 1 | centered: 1. Do not include captions in the generated images.
Generate an ultra 8k photorealistic RAW portrait image for Female Asian Light Silky straight black hair falling over one shoulder Delicate stud earrings Gentle smile  eyes slightly squinted in a friendly manner. Capture the image with a high-resolution photograph using an 85mm lens for a flattering perspective. fujifilm: 1 | centered: 1. Do not include captions in the generated images.
Generate an ultra 8k photorealistic RAW portrait image for Male African Deep ebony Close-cropped hair with a defined hairline Traditional patterned shirt Confident posture looking directly at the camera with pride. Capture the image with a high-resolution photograph using an 85mm lens for a flattering perspective. fujifilm: 1 | centered: 1. Do not include captions in the generated images.
Generate an ultra 8k photorealistic RAW portrait image for Female Caucasian Rosy Long flowing blonde hair with loose curls Radiant smile exuding warmth and approachability. Capture the image with a high-resolution photograph using an 85mm lens for a flattering perspective. fujifilm: 1 | centered: 1. Do not include captions in the generated images.
Generate an ultra 8k photorealistic RAW portrait image for Male East Asian Light Short jet-black hair styled neatly Wireframe glasses Expressive eyes  conveying intelligence and kindness. Capture the image with a high-resolution photograph using an 85mm lens for a flattering perspective. fujifilm: 1 | centered: 1. Do not include captions in the generated images.
Generate an ultra 8k photorealistic RAW portrait image for Female Hispanic Caramel Shoulder-length curly brown hair with highlights Hoop earrings Bright inviting smile showcasing a friendly demeanor. 
Capture the image with a high-resolution photograph using an 85mm lens for a flattering perspective. fujifilm: 1 | centered: 1. 
Do not include captions in the generated images.
